CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,id_estab
15-04-0097-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO XEYOCH, ALDEA SANTA ROSA",4899-2406,HUGO MAURICIO MORALES MORALES,HAYDEE JOHANA CALO FERNÁNDEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,36973fee99cb
15-04-0098-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"COLONIA EL NARANJO, ALDEA LAS VEGAS",3975-4492,HUGO MAURICIO MORALES MORALES,JOSÉ EDBIN MORALES PEREIRA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,1a0eaebceeb6
15-04-0099-45,15-029,BAJA VERAPAZ,CUBULCO,INEB,BARRIO MAGDALENA,4829-3208,HUGO MAURICIO MORALES MORALES,MARÍA JULIANA SOLOMÁN HERNÁNDEZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,850a2b27f6b3
15-04-0101-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO LA LAGUNA PATZIJÓN, ALDEA PATZIJÓN",5427-9007,HUGO MAURICIO MORALES MORALES,NORMAN RUBÉN MILIÁN GÓMEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,41f590e63c8a
15-04-0102-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO CHIRRAMOS, ALDEA LOS PAJALES",5746-2179,HUGO MAURICIO MORALES MORALES,VICTOR GONZÁLEZ MELCHOR,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,360c2f8fe55c
15-04-0119-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO PALÁ, ALDEA TRES CRUCES",3875-3189,HUGO MAURICIO MORALES MORALES,FÉLIX MATEO MORALES SARCEÑO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,51f33dda5920
15-04-0187-45,15-029,BAJA VERAPAZ,CUBULCO,IEBC DE ENSEÑANZA,BARRIO MAGDALENA,7954-0364,HUGO MAURICIO MORALES MORALES,ERIC RIVERA GARCÍA,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,3620bc8998e9
15-04-0191-45,15-029,BAJA VERAPAZ,CUBULCO,"CENTRO EDUCATIVO ""NUEVA ESPERANZA""",BARRIO MAGDALENA,7954-5457,HUGO MAURICIO MORALES MORALES,JUAN QUILÁ SANTOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,63981efe0bb8
15-04-0197-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERIO PAMISCALCHE, ALDEA LA LAGUNA",4568-3553,HUGO MAURICIO MORALES MORALES,EUGENIO ANTONIO ROSALES REYES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,25ba6b22a594
15-04-0198-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERIO CHUACHACUXA, ALDEA PATZIJON",5050-8207,HUGO MAURICIO MORALES MORALES,JHONATAN FEDERICO LÓPEZ ARÉVALO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,47548b6ba44a
15-04-0199-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO CHUACHACALTE I, ALDEA TRES CRUCES",4093-3045,HUGO MAURICIO MORALES MORALES,ROCAEL FRANCISCO DE LA CRUZ PRIMERO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,fdaf9da25250
15-04-0200-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO CHISANTIAGO, ALDEA LA LAGUNA",3002-8118,HUGO MAURICIO MORALES MORALES,JAIME DINAEL REYES REYES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,3b80971c351b
15-04-0201-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERIO PATZULUP, ALDEA LOS PAJALES",3002-8118,HUGO MAURICIO MORALES MORALES,FABIOLA ROVERSI RODRÍGUEZ CORNELIO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,2cd54bb0a621
15-04-0202-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERIO PATABAL, ALDEA GUATZILEP",5163-0828,HUGO MAURICIO MORALES MORALES,MARTA LUCÍA ANTRETE,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0d2037cd062a
15-04-0204-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO XIBALBÁ, ALDEA TRES CRUCES",4802-7223,HUGO MAURICIO MORALES MORALES,VICTOR MANUEL LUIS RUIZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,39c8189691bc
15-04-0205-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,ALDEA EL CEBOLLAL,4655-7319,HUGO MAURICIO MORALES MORALES,ANGEL CAIN IZAGUIRRE REYES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,dd844f5e532d
15-04-0212-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERIO EL RODEO, ALDEA LAS VEGAS",NO DISPONIBLE,HUGO MAURICIO MORALES MORALES,EDSON NERY ITZEP IXCHOP,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,06c63a02db4a
15-04-0216-45,15-029,BAJA VERAPAZ,CUBULCO,INEB,ALDEA TRES CRUCES,4876-5468,HUGO MAURICIO MORALES MORALES,ANA EDELMIRA REYES Y REYES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,52c2654ce3fa
15-04-0235-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO PATUY, ALDEA LOS PAJALES",5161-5845,HUGO MAURICIO MORALES MORALES,LUIS ESTUARDO GONZALEZ MAAS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,b6a7b8a6c9c4
15-04-0250-45,15-029,BAJA VERAPAZ,CUBULCO,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA DE TELESECUNDARIA,"CASERÍO TURBALÁ, ALDEA PATZIJÓN",3257-8288,HUGO MAURICIO MORALES MORALES,JOSÉ SALVADOR AVILA RODRIGUEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,54003c496a79
15-04-0251-45,15-029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO NUEVA ESPERANZA,BARRIO MAGDALENA,7954-5457,HUGO MAURICIO MORALES MORALES,JUAN QUILÁ SANTOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),BAJA VERAPAZ,63981efe0bb8
15-04-0253-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,ALDEA SAN JOSÉ EL RODEO,4151-0569,HUGO MAURICIO MORALES MORALES,REINA ISABEL SUCUP TORRES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,df83b028e773
15-04-0254-45,15-024,BAJA VERAPAZ,CUBULCO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,CASERÍO CHIRUJ,3359-5715,VIVIAN VERONICA PRERA NOGUERA,ALONDRA VANESSA VALEY IXPATÁ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,072be5d650e0
15-04-0255-45,15-029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA,BARRIO MAGDALENA,5034-4461,HUGO MAURICIO MORALES MORALES,ABELINO PRIMERO CAMAJÁ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,c2dd4bbae5f0
15-04-0256-45,15-029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA,BARRIO MAGDALENA,5034-4461,HUGO MAURICIO MORALES MORALES,ABELINO PRIMERO CAMAJÁ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),BAJA VERAPAZ,c2dd4bbae5f0
15-04-0259-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO CHICUXTÍN, ALDEA LAS VEGAS",NO DISPONIBLE,HUGO MAURICIO MORALES MORALES,FRANCISCA HERNÁNDEZ RAMOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,5248e6bf6c19
15-04-0260-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO CHICRUZ, ALDEA LOS PAJALES",4583-1554,HUGO MAURICIO MORALES MORALES,JORGE ISMAEL CAMAJÁ RUÍZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,90d380991238
15-04-0261-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,ALDEA LOS PAJALES,3029-5069,HUGO MAURICIO MORALES MORALES,ELMER EVEDARDO ORTÍZ ROSALES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,ad670d38744c
15-04-0262-45,15-029,BAJA VERAPAZ,CUBULCO,INEB,ALDEA PACHOJOP,4629-3898,HUGO MAURICIO MORALES MORALES,CLAUDIA MAGALY DEL CID CASTILLO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,81eab5bc1636
15-04-0263-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,ALDEA SANTA ROSA,3009-7197,HUGO MAURICIO MORALES MORALES,ERIK AMILCAR CORNELIO MORENO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,d433f0e9c607
15-04-0670-45,15-029,BAJA VERAPAZ,CUBULCO,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,BARRIO MAGDALENA,7954-0241,HUGO MAURICIO MORALES MORALES,RUDY GARCÍA PAZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,90a31c7daad2
15-04-1618-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERÍO SANGRE DE CRISTO, ALDEA CANCHEL",4929-1495,HUGO MAURICIO MORALES MORALES,JUAN PRIMERO CAMAJÁ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,5b0cefa4bfeb
15-04-1705-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,ALDEA SUTUN,5766-9676,HUGO MAURICIO MORALES MORALES,JOSÉ ANTONIO RUÍZ RUÍZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,8eca1d41f515
15-04-1740-45,15-029,BAJA VERAPAZ,CUBULCO,INEB DE TELESECUNDARIA,"CASERIO CHITOMAX, ALDEA LOS PAJALES",5187-6645,HUGO MAURICIO MORALES MORALES,BAIRON RENÉ CATALÁN AQUINO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,9b79a90ea49e
15-04-1810-45,15-029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO COMUNITARIO PADRE JUAN VALLS CRESPO,BARRIO MAGDALENA,7954-0671,HUGO MAURICIO MORALES MORALES,ELVIN CONRADO REYES TURCIOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,89d57d5c2f61
15-04-2125-45,15-029,BAJA VERAPAZ,CUBULCO,COLEGIO CRISTIANO NUEVA VISION,BARRIO MAGDALENA,7954-0086,HUGO MAURICIO MORALES MORALES,MARÍA ORTIZ HERNÁNDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,20c5cc660ee6
15-04-2130-45,15-029,BAJA VERAPAZ,CUBULCO,NUCLEO FAMILIAR PARA EL DESARROLLO EDUCATIVO NUFED NO.289,CASERIO CHUABAJ ALDEA GUATZILEP,NO DISPONIBLE,HUGO MAURICIO MORALES MORALES,ALVARO ANTONIO CALO HERNÁNDEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,0eba008738dd
15-04-2152-45,15-029,BAJA VERAPAZ,CUBULCO,INEB TELESECUNDARIA,ALDEA CIMIENTOS CALA,5700-2671,HUGO MAURICIO MORALES MORALES,ZOILA MANUEL PIOX,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,a3dc54c69bc3
15-04-2181-45,15-029,BAJA VERAPAZ,CUBULCO,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,"CASERÍO LA ESTANCIA, ALDEA PATZIJÓN",5171-4202,HUGO MAURICIO MORALES MORALES,CLEMENTE TELETOR CANAHUÍ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0c19bbe64463
15-04-2204-45,15-029,BAJA VERAPAZ,CUBULCO,INSTITUTO NACIONAL DE EDUCACION BASICA DE TELESECUNDARIA,"CASERIO CHIVAQUITO, ALDEA LOS PAJALES",4778-2782,HUGO MAURICIO MORALES MORALES,CARLOS GEOVANNY VALEY COLOCH,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,1697c5ddb128
15-05-0013-45,15-015,BAJA VERAPAZ,GRANADOS,INEB,CABECERA MUNICIPAL,5037-0657,FLORA MILIAN MILIAN DE GARCIA,AURA AZUCENA GARCÍA GARCÍA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,53cf1808daaf
15-05-0028-45,15-016,BAJA VERAPAZ,GRANADOS,INEB DE TELESECUNDARIA,"CASERÍO JOYA DE LA VEGA, ALDEA SALTÁN",4567-6976,JORGE ARNOLDO ALVARADO PEREZ,YÉSICA VICTORIA GALEANO ACEITUNO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,abec18b58178
15-05-0029-45,15-015,BAJA VERAPAZ,GRANADOS,INEB DE TELESECUNDARIA,ALDEA LLANO GRANDE,4022-4551,FLORA MILIAN MILIAN DE GARCIA,RUDI OTONIEL ALVARADO GARCÍA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,bb9d1d64c72f
15-05-0214-45,15-016,BAJA VERAPAZ,GRANADOS,IEBC DE ENSEÑANZA,ALDEA SALTÁN,4547-7680,JORGE ARNOLDO ALVARADO PEREZ,EZEQUIEL SOTO GARCÍA,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,16bdf0c75cf9
15-05-0215-45,15-015,BAJA VERAPAZ,GRANADOS,IEBC DE ENSEÑANZA,"ÁREA URBANA, CABECERA MUNICIPAL",4809-0353,FLORA MILIAN MILIAN DE GARCIA,TULIO EDILZAR GALEANO ALVARADO,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,d1cb38351ba0
15-05-1463-45,15-016,BAJA VERAPAZ,GRANADOS,INEB DE TELESECUNDARIA,ALDEA EL SACRAMENTO,4590-1480,JORGE ARNOLDO ALVARADO PEREZ,JORGE ANIBAL GUAMUCH PÉREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,e885821c1e72
15-05-1464-45,15-015,BAJA VERAPAZ,GRANADOS,INEB DE TELESECUNDARIA,ALDEA EL ORATORIO,5167-7779,FLORA MILIAN MILIAN DE GARCIA,GLENDY AMALIA ROSALES CUELLAR,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,a15552b4540c
15-05-1941-45,15-016,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,4073-7673,JORGE ARNOLDO ALVARADO PEREZ,FILADELFO GARCÍA ALVARADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,891fa43063c5
15-05-2076-45,15-015,BAJA VERAPAZ,GRANADOS,INEB TELESECUNDARIA,ALDEA IXCHEL,5374-9807,FLORA MILIAN MILIAN DE GARCIA,JOSÉ CORAZÓN ISMALEJ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,f37e969eadd4
15-06-0005-45,15-018,BAJA VERAPAZ,SANTA CRUZ EL CHOL,INEB,BARRIO EL CENTRO,3000-8388,CESAR LEONEL GRAMAJO JIMENEZ,VÍCTOR EDGARDO MENDOZA DUBÓN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,d77bd7565fdd
15-06-0014-45,15-017,BAJA VERAPAZ,SANTA CRUZ EL CHOL,INEB,ALDEA LOS LOCHUYES,4639-1678,MARCOS MAYEN CORDOVA,REINA LETICIA MARROQUÍN SANTIAGO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,d353f15193c3
15-06-0234-45,15-018,BAJA VERAPAZ,SANTA CRUZ EL CHOL,IEBC DE ENSEÑANZA,BARRIO CENTRO,5746-4056,CESAR LEONEL GRAMAJO JIMENEZ,CELSO FELIPE BELTRÁN LIGORRÍA,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,c77a6e5108aa
15-06-1468-45,15-017,BAJA VERAPAZ,SANTA CRUZ EL CHOL,INEB DE TELESECUNDARIA,ALDEA LOS AMATES,5303-4522,MARCOS MAYEN CORDOVA,MARIO GERARDO ROSALES BELTRÁN,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,401d9e1ab5c3
15-06-1681-45,15-017,BAJA VERAPAZ,SANTA CRUZ EL CHOL,INEB DE TELESECUNDARIA,ALDEA LOS JOBOS,4565-1819,MARCOS MAYEN CORDOVA,WALTER ALBERTO GRAMAJO JIMENEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,f6bdca536e85
15-06-1943-45,15-017,BAJA VERAPAZ,SANTA CRUZ EL CHOL,INEB DE TELESECUNDARIA,ALDEA OJO DE AGUA,3035-9894,MARCOS MAYEN CORDOVA,CARLOS HUMBERTO MAYEN GARCIA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,0894cc9386a2
15-06-2154-45,15-018,BAJA VERAPAZ,SANTA CRUZ EL CHOL,INEB TELESECUNDARIA,ALDEA AGUA CALIENTE,3035-9894,CESAR LEONEL GRAMAJO JIMENEZ,HEYMIN YANIRA ESTRADA ZULETA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,a563d97d55ff
15-07-0017-45,15-035,BAJA VERAPAZ,SAN JERONIMO,INEB,"CASERÍO LOS CERRITOS, ALDEA EL JÍCARO",3013-2686,MAYRA JUDITH PEREZ,JOSÉ FELIX OLMINO SUMPANGO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,fe7336b1586a
15-07-0018-45,15-035,BAJA VERAPAZ,SAN JERONIMO,INEB DE TELESECUNDARIA,ALDEA MATANZAS,5198-1613,MAYRA JUDITH PEREZ,ALEJANDRA ISMALEJ OSORIO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,924d8a47e9d7
15-07-0027-45,15-035,BAJA VERAPAZ,SAN JERONIMO,INEB DE TELESECUNDARIA,ALDEA SAN ISIDRO,NO DISPONIBLE,MAYRA JUDITH PEREZ,DORIS ALEIDA GARCÍA GARCÍA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,82d30d4bc92f
15-07-0032-45,15-035,BAJA VERAPAZ,SAN JERONIMO,COLEGIO PARTICULAR MIXTO SAN JERONIMO,BARRIO ABAJO,5199-6477,MAYRA JUDITH PEREZ,ALDO WILFREDO ALVAREZ RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,840295d894a1
15-07-0041-45,15-035,BAJA VERAPAZ,SAN JERONIMO,INEB,ALDEA LOS JOCOTES,5985-1294,MAYRA JUDITH PEREZ,SERGIO ANIBAL OXLAJ ORDOÑEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,635dbde12bba
15-07-0047-45,15-035,BAJA VERAPAZ,SAN JERONIMO,COLEGIO PARTICULAR MIXTO SAN JERÓNIMO,BARRIO ABAJO,4594-4665,MAYRA JUDITH PEREZ,ALDO WILFREDO ALVAREZ RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),BAJA VERAPAZ,840295d894a1
15-07-0049-45,15-024,BAJA VERAPAZ,SAN JERONIMO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,"BARRIO ABAJO, CALLE LA ASUNCIÓN",3359-5715,VIVIAN VERONICA PRERA NOGUERA,ALONDRA VANESSA VALEY IXPATÁ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,33f2cc8fb839
15-07-0050-45,15-024,BAJA VERAPAZ,SAN JERONIMO,CEEX-FUNCAFE,ALDEA EL ASTILLERO,3249-4456,VIVIAN VERONICA PRERA NOGUERA,JEANNIE ISABEL MORENTE TISTA DE FRANCO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,f454a878028a
15-07-0051-45,15-035,BAJA VERAPAZ,SAN JERONIMO,INEB DE TELESECUNDARIA,ALDEA SANTA CRUZ,4113-9535,MAYRA JUDITH PEREZ,EVELIN MIRELLA MORALES ORTEGA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,177907d48a8a
15-07-0052-45,15-035,BAJA VERAPAZ,SAN JERONIMO,INEB DE TELESECUNDARIA,ALDEA EL ASTILLERO,5040-9170,MAYRA JUDITH PEREZ,DILIA IRACEMA PORTILLO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ,20cb6895c763
15-07-0254-45,15-035,BAJA VERAPAZ,SAN JERONIMO,IEBC DE ENSEÑANZA,BARRIO ABAJO,5413-0115,MAYRA JUDITH PEREZ,ANA ISABEL GUEVARA MEZA,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,e1be5680dbf9
15-07-1164-45,15-035,BAJA VERAPAZ,SAN JERONIMO,INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA SANTA BARBARA,3783-6806,MAYRA JUDITH PEREZ,CLAUDIA LORENA VÁSQUEZ PALENCIA,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,a534c5713ec4
15-07-2155-45,15-035,BAJA VERAPAZ,SAN JERONIMO,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED N. 280,ALDEA EL CACAO,3013-2686,MAYRA JUDITH PEREZ,JOSE FERNANDO LOPEZ GABRIEL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,67a9435dc5d7
15-08-0102-45,15-021,BAJA VERAPAZ,PURULHA,INEB DE TELESECUNDARIA,CASERÍO MATUCUY II,5055-7870,PEDRO ARMANDO CASTRO CHOCO,FRANCISCO ELÍAS RODRIGUEZ CALO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,6791409f7220
15-08-0103-45,15-021,BAJA VERAPAZ,PURULHA,INEB DE TELESECUNDARIA,ALDEA PANIMA,3248-0192,PEDRO ARMANDO CASTRO CHOCO,SERGIO ADOLFO CHUY SUCUP,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,54a11ccf5bfa
