DEPARTAMENTO,MUNICIPIO
QUICHE,CHICAMAN
QUICHE,CHICHE
QUICHE,CHINIQUE
QUICHE,CUNEN
QUICHE,IXCAN
QUICHE,JOYABAJ
QUICHE,NEBAJ
QUICHE,PACHALUN
QUICHE,PATZITE
QUICHE,SACAPULAS
QUICHE,SAN ANDRES SAJCABAJA
QUICHE,SAN ANTONIO ILOTENANGO
QUICHE,SAN BARTOLOME JOCOTENANGO
QUICHE,SAN JUAN COTZAL
QUICHE,SAN MIGUEL USPANTAN
QUICHE,SAN PEDRO JOCOPILAS
QUICHE,SANTA CRUZ DEL QUICHE
QUICHE,SANTO TOMAS CHICHICASTENANGO
QUICHE,ZACUALPA
RETALHULEU,CHAMPERICO
RETALHULEU,EL ASINTAL
RETALHULEU,NUEVO SAN CARLOS
RETALHULEU,RETALHULEU
RETALHULEU,SAN ANDRES VILLA SECA
RETALHULEU,SAN FELIPE
RETALHULEU,SAN MARTIN ZAPOTITLAN
RETALHULEU,SAN SEBASTIAN
RETALHULEU,SANTA CRUZ MULUA
SACATEPEQUEZ,ALOTENANGO
SACATEPEQUEZ,ANTIGUA GUATEMALA
SACATEPEQUEZ,CIUDAD VIEJA
SACATEPEQUEZ,JOCOTENANGO
SACATEPEQUEZ,MAGDALENA MILPAS ALTAS
SACATEPEQUEZ,PASTORES
SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES
SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS
SACATEPEQUEZ,SAN LUCAS SACATEPEQUEZ
SACATEPEQUEZ,SAN MIGUEL DUENAS
SACATEPEQUEZ,SANTA CATARINA BARAHONA
SACATEPEQUEZ,SANTA LUCIA MILPAS ALTAS
SACATEPEQUEZ,SANTA MARIA DE JESUS
SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ
SACATEPEQUEZ,SANTO DOMINGO XENACOJ
SACATEPEQUEZ,SUMPANGO
SAN MARCOS,AYUTLA
SAN MARCOS,CATARINA
SAN MARCOS,COMITANCILLO
SAN MARCOS,CONCEPCION TUTUAPA
SAN MARCOS,EL QUETZAL
SAN MARCOS,EL TUMBADOR
SAN MARCOS,ESQUIPULAS PALO GORDO
SAN MARCOS,IXCHIGUAN
SAN MARCOS,LA BLANCA
SAN MARCOS,LA REFORMA
SAN MARCOS,MALACATAN
SAN MARCOS,NUEVO PROGRESO
SAN MARCOS,OCOS
SAN MARCOS,PAJAPITA
SAN MARCOS,RIO BLANCO
SAN MARCOS,SAN ANTONIO SACATEPEQUEZ
SAN MARCOS,SAN CRISTOBAL CUCHO
SAN MARCOS,SAN JOSE EL RODEO
SAN MARCOS,SAN JOSE OJETENAM
SAN MARCOS,SAN LORENZO
SAN MARCOS,SAN MARCOS
SAN MARCOS,SAN MIGUEL IXTAHUACAN
SAN MARCOS,SAN PABLO
SAN MARCOS,SAN PEDRO SACATEPEQUEZ
SAN MARCOS,SAN RAFAEL PIE DE LA CUESTA
SAN MARCOS,SIBINAL
SAN MARCOS,SIPACAPA
SAN MARCOS,TACANA
SAN MARCOS,TAJUMULCO
SAN MARCOS,TEJUTLA
SANTA ROSA,BARBERENA
SANTA ROSA,CASILLAS
SANTA ROSA,CHIQUIMULILLA
SANTA ROSA,CUILAPA
SANTA ROSA,GUAZACAPAN
SANTA ROSA,NUEVA SANTA ROSA
SANTA ROSA,ORATORIO
SANTA ROSA,PUEBLO NUEVO VIÑAS
SANTA ROSA,SAN JUAN TECUACO
SANTA ROSA,SAN RAFAEL LAS FLORES
SANTA ROSA,SANTA CRUZ NARANJO
SANTA ROSA,SANTA MARIA IXHUATAN
SANTA ROSA,SANTA ROSA DE LIMA
SANTA ROSA,TAXISCO
SOLOLA,CONCEPCION
SOLOLA,NAHUALA
SOLOLA,PANAJACHEL
SOLOLA,SAN ANDRES SEMETABAJ
SOLOLA,SAN ANTONIO PALOPO
SOLOLA,SAN JOSE CHACAYA
SOLOLA,SAN JUAN LA LAGUNA
SOLOLA,SAN LUCAS TOLIMAN
SOLOLA,SAN MARCOS LA LAGUNA
SOLOLA,SAN PABLO LA LAGUNA
SOLOLA,SAN PEDRO LA LAGUNA
SOLOLA,SANTA CATARINA IXTAHUACAN
SOLOLA,SANTA CATARINA PALOPO
SOLOLA,SANTA CLARA LA LAGUNA
SOLOLA,SANTA CRUZ LA LAGUNA
SOLOLA,SANTA LUCIA UTATLAN
SOLOLA,SANTA MARIA VISITACION
SOLOLA,SANTIAGO ATITLAN
SOLOLA,SOLOLA
SUCHITEPEQUEZ,CHICACAO
SUCHITEPEQUEZ,CUYOTENANGO
SUCHITEPEQUEZ,MAZATENANGO
SUCHITEPEQUEZ,PATULUL
SUCHITEPEQUEZ,PUEBLO NUEVO
SUCHITEPEQUEZ,RIO BRAVO
SUCHITEPEQUEZ,SAMAYAC
SUCHITEPEQUEZ,SAN ANTONIO SUCHITEPEQUEZ
SUCHITEPEQUEZ,SAN BERNARDINO
SUCHITEPEQUEZ,SAN FRANCISCO ZAPOTITLAN
SUCHITEPEQUEZ,SAN GABRIEL
SUCHITEPEQUEZ,SAN JOSE EL IDOLO
SUCHITEPEQUEZ,SAN JOSE LA MAQUINA
SUCHITEPEQUEZ,SAN JUAN BAUTISTA
SUCHITEPEQUEZ,SAN LORENZO
SUCHITEPEQUEZ,SAN MIGUEL PANAM
SUCHITEPEQUEZ,SAN PABLO JOCOPILAS
SUCHITEPEQUEZ,SANTA BARBARA
SUCHITEPEQUEZ,SANTO DOMINGO SUCHITEPEQUEZ
SUCHITEPEQUEZ,SANTO TOMAS LA UNION
SUCHITEPEQUEZ,ZUNILITO
TOTONICAPAN,MOMOSTENANGO
TOTONICAPAN,SAN ANDRES XECUL
TOTONICAPAN,SAN BARTOLO AGUAS CALIENTES
TOTONICAPAN,SAN CRISTOBAL TOTONICAPAN
TOTONICAPAN,SAN FRANCISCO EL ALTO
TOTONICAPAN,SANTA LUCIA LA REFORMA
TOTONICAPAN,SANTA MARIA CHIQUIMULA
TOTONICAPAN,TOTONICAPAN
ZACAPA,CABAÑAS
ZACAPA,ESTANZUELA
ZACAPA,GUALAN
ZACAPA,HUITE
ZACAPA,LA UNION
ZACAPA,RIO HONDO
ZACAPA,SAN DIEGO
ZACAPA,SAN JORGE
ZACAPA,TECULUTAN
ZACAPA,USUMATLAN
ZACAPA,ZACAPA
