CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,razon
13-32-0002-45,HUEHUETENANGO,UNION CANTINIL,INEB,CANTÓN CENTRAL,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-32-0003-45,HUEHUETENANGO,UNION CANTINIL,INEB DE TELESECUNDARIA,CANTÓN SAN FRANCISCO,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-33-0014-45,HUEHUETENANGO,PETATAN,INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA DE ENSEÑANZA PETATÁN,CANTÓN SAN SEBASTIÁN,URBANA,COOPERATIVA,URBANA_SIN_EVIDENCIA
13-01-0156-46,HUEHUETENANGO,HUEHUETENANGO,COLEGIO SAN FRANCISCO JAVIER DE HUEHUETENANGO,CORRAL CHIQUITO ZONA 8,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
13-01-0313-46,HUEHUETENANGO,HUEHUETENANGO,COLEGIO EVANGÉLICO MIXTO FILADELFIA,SEGUNDO CARRIZAL ZONA 3,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
13-01-0342-46,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"4A. AVENIDA Y 4A. CALLE, ZACULEU CENTRAL ZONA 9",RURAL,OFICIAL,RURAL_CON_ZONA_NUM
13-02-0306-46,HUEHUETENANGO,CHIANTLA,"COLEGIO PARROQUIAL ""NUESTRA SEÑORA DE CANDELARIA""",CANTÓN PARROQUIA,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-04-0118-46,HUEHUETENANGO,CUILCO,CENTRO DE EDUCACIÓN EXTRAESCOLAR MUNICIPAL-CEEXM,16/10/2021,URBANA,PRIVADO,SIN_TOKENS
13-06-5758-46,HUEHUETENANGO,SAN PEDRO NECTA,COLEGIO EVANGELICO MIXTO GETSEMANI,"SAN PEDRO NECTA, HUEHUETENANGO",URBANA,PRIVADO,SIN_TOKENS
13-06-6072-46,HUEHUETENANGO,SAN PEDRO NECTA,INSTITUTO PRIVADO MIXTO 'SAMPEDRANO',CANTON EL LLANO,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
13-07-0067-46,HUEHUETENANGO,JACALTENANGO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,CANTÓN SAN SEBASTIÁN,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
13-07-0075-46,HUEHUETENANGO,JACALTENANGO,INSTITUTO NACIONAL TECNOLÓGICO,CANTÓN SAN SEBASTIÁN,URBANA,OFICIAL,URBANA_SIN_EVIDENCIA
